Number	Reaction Type  	Stoichiometry                           	Reaction orders                         	k-forward       	                                  	k-backward	     
     1	Arrhenius      	B1 <-> B2                               	[B1] <-> [B2]                           	1.5480000000e+13	* exp(-4.9890000000e+04/(R*T))    	1.5480000000e+13	* exp(-1.7960000000e+04/(R*T))    
     2	Arrhenius      	S0 + C2 <-> E1                          	[S0][C2] <-> [E1]                       	1.5480000000e+13	* exp(-8.9610000000e+03/(R*T))    	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    
     3	Arrhenius      	B2 <-> B3                               	[B2] <-> [B3]                           	1.5480000000e+13	* exp(-1.2150000000e+05/(R*T))    	1.5480000000e+13	* exp(-2.1290000000e+04/(R*T))    
     4	Arrhenius      	M2 <-> M3                               	[M2] <-> [M3]                           	1.5480000000e+13	* exp(-7.9560000000e+04/(R*T))    	1.5480000000e+13	* exp(-1.4390000000e+04/(R*T))    
     5	Arrhenius      	E2 <-> E3                               	[E2] <-> [E3]                           	1.5480000000e+13	* exp(-1.6330000000e+05/(R*T))    	1.5480000000e+13	* exp(-3.0860000000e+04/(R*T))    
     6	Arrhenius      	E1 <-> E2                               	[E1] <-> [E2]                           	1.5480000000e+13	* exp(-6.5140000000e+04/(R*T))    	1.5480000000e+13	* exp(-4.0900000000e+04/(R*T))    
     7	Arrhenius      	B3 <-> A2 + C2H4O                       	[B3] <-> [A2][C2H4O]                    	1.5480000000e+13	* exp(-3.4370000000e+03/(R*T))    	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    
     8	Arrhenius      	E3 <-> A1 + CH2O                        	[E3] <-> [A1][CH2O]                     	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    	1.5480000000e+13	* exp(-3.2070000000e+04/(R*T))    
     9	Arrhenius      	A2 + C2 <-> M4                          	[A2][C2] <-> [M4]                       	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    	1.5480000000e+13	* exp(-7.6840000000e+03/(R*T))    
    10	Arrhenius      	A1 + C4 <-> M1                          	[A1][C4] <-> [M1]                       	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    	1.5480000000e+13	* exp(-1.0870000000e+05/(R*T))    
    11	Arrhenius      	M4 <-> M5                               	[M4] <-> [M5]                           	1.5480000000e+13	* exp(-3.6830000000e+04/(R*T))    	1.5480000000e+13	* exp(-1.3310000000e+05/(R*T))    
    12	Arrhenius      	M1 <-> M2                               	[M1] <-> [M2]                           	1.5480000000e+13	* exp(-1.9290000000e+03/(R*T))    	1.5480000000e+13	* exp(-3.7990000000e+04/(R*T))    
    13	Arrhenius      	M5 <-> M6                               	[M5] <-> [M6]                           	1.5480000000e+13	* exp(-1.4050000000e+05/(R*T))    	1.5480000000e+13	* exp(-4.7800000000e+04/(R*T))    
    14	Arrhenius      	M3 <-> A2 + C3                          	[M3] <-> [A2][C3]                       	1.5480000000e+13	* exp(-4.6300000000e+04/(R*T))    	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    
    15	Arrhenius      	M6 <-> A1 + C3                          	[M6] <-> [A1][C3]                       	1.5480000000e+13	* exp(-3.8520000000e+04/(R*T))    	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    
    16	Arrhenius      	S0 + C4 <-> B1                          	[S0][C4] <-> [B1]                       	1.5480000000e+13	* exp(-0.0000000000e+00/(R*T))    	1.5480000000e+13	* exp(-6.8480000000e+04/(R*T))    

